Gender,Age,State,Mode of Entry,EDT 111 (2),ITE 101 (2),EDT 112 (2),ITE 102 (2),EDT 113 (2),ITE 103 (2),EDT 114 (2),ITE 104 (2),EDT 115 (2),ITE 105 (2),EDT 116 (2),GNS 111 (2),EDU 111 (2),GNS 112 (2),EDU 112 (2),ASE 114 (2),SSE 115 (2),ASE 116 (2),EDT 117 (2),EDT 118 (2),EDT 119 (2),EDT 120 (2),EDT 121 (2),EDT 122 (2),EDT 123 (2),EDT 124 (2),ITE 201 (2),SSE 201 (2),EDT 211 (2),SSE 202 (2),ITE 202 (2),GSE 202 (2),EDU 212 (2),EDU 211 (2),EDT 212 (2),ITE 203 (2),EDT 203 (3),EDT 214 (2),ITE 204 (2),EDT 215 (2),ITE 206 (2),ITE 207 (2),ITE 208 (2),GNS 211 (2),GNS 212 (2),EDT 213 (2),EDU 213 (2),EDU 214 (2),EDU 215 (2),EDU 216 (2),EDT 216 (2),EDT 217 (2),EDT 218 (2),EDT 219 (2),EDT 220 (2),EDT 221 (2),EDT 222 (2),EDT 223 (1),EDT 224 (2),EDT 225 (2),EDT 226 (2),EDT 227 (2),EDT 228 (2),EDT 229 (2),EDT 230 (2),EDT 311 (2),ITE 301 (2),GSE 301 (3),SSE 302 (2),EDT 312 (2),ITE 302 (2),EDT 313 (2),ITE 303 (2),EDT 314 (2),ITE 304 (2),SSE 304 (3),AED 305 (2),EDT 315 (2),EDT 316 (2),ITE 306 (2),EDT 317 (2),EDT 318 (2),EDT 319 (2),ITE 307 (2),ITE 308 (2),EDT 310 (2),HED 310 (2),GNS 311 (2),EDU 311 (2),GNS 312 (1),EDU 312 (2),EDU 313 (2),EDU 314 (2),EDU 315 (2),EDU 316 (3),EDT 320 (2),EDT 321 (2),EDT 322 (2),EDT 323 (2),EDT 324 (2),EDT 325 (2),EDT 326 (2),EDT 327 (2),EDT 328 (2),EDT 329 (2),DLC 400 (0),EDT 411 (3),EDU 412 (2),EDT 412 (2),AED 403 (2),EDT 413 (2),SSE 404 (2),EDT 414 (2),SED 405 (2),EDT 415 (2),SED 406 (2),EMA 407 (2),CED 408 (2),EDT 410 (2),EDU 411 (4),EDU 413 (2),EDU 414 (2),EDU 415 (2),EDU 416 (2),EDT 416 (2),EDU 417 (2),EDT 417 (2),EDT 418 (2),EDT 419 (2),EDT 420 (2),EDT 421 (2),EDT 422 (2),EDT 423 (2),EDT 424 (2),EDT 425 (2),EDU 499 (4),Final CGPA,Class of Degree
Male,30,kwara,UTME,78,64,68,70,59,62,66,88,56,64,63,48,,46,,58,64,47,,,,,,,,,72,67,66,60,41,,,,71,59,62,,,69,80,44,64,75,44,,,,,,,,,,,,,,,,,,,,,65,64,60,64,,,40,53,50,80,48,50,74,53,77,50,67,,61,65,65,,44,,,,,,,,,,,,,,,,,,,,,0,62,0,72,0,53,0,70,50,56,0,,,,,,,,,,,,,,,,,59,2.765432099,Second Class Lower
Female,18,kwara,UTME,50,40,45,60,40,24,57,45,38,43,66,48,,42,,54,43,44,,,,,,,,,40,40,40,48,52,,,,45,52,40,53,,47,41,40,40,58,44,45,,,,,,,,,,,,,,,,,,,,48,42,40,40,,,,43,53,64,70,86,,50,12,53,,,,56,40,51,45,,,,,,,,,,,,,,,,,,55,48,,44,40,40,48,,50,44,58,48,48,45,,,,,,,,,,,,,,,,,50,0.322429907,Pass
Male,23,kwara,UTME,66,48,60,81,60,64,56,40,51,47,58,56,,66,,54,40,44,,,,47,,,,,90,56,40,40,40,,,,46,51,56,43,40,70,48,48,64,62,58,40,,,,,,,,,,,,,,,,,,,,56,57,40,63,51,52,54,58,64,64,45,58,52,61,,56,41,,60,,41,59,52,,,,,,,,,,,,,,,,,,86,57,,58,63,52,45,46,76,48,68,66,59,58,,,,,,,,,,,,,,,,,55,2.703225806,Second Class Lower
Male,23,lagos,UTME,60,45,43,69,60,50,60,44,44,44,40,53,,49,,64,46,48,,,,,,,,,51,46,58,50,57,,,,57,51,58,47,49,61,42,55,50,44,46,51,,,,,,,,,,,,,,,,,,,,50,50,48,80,,,56,58,42,63,88,50,60,60,40,64,,,52,0,40,45,40,,,,,,,,,,,,,,,,,,50,62,,46,70,17,50,6,71,0,40,40,82,41,,,,,,,,,,,,,,,,,47,0.89,Third Class
Female,18,ondo,UTME,58,55,65,70,70,64,70,67,56,43,65,54,,43,,54,46,56,,,,60,,,,,70,56,67,47,50,,,,71,60,70,60,66,53,48,64,50,69,57,65,,,,,,,,,,,,,,,,,,,,61,,48,78,,,45,51,56,64,86,62,48,70,50,50,,,65,65,57,56,52,,,,,,,,,,,,,,,,,,40,59,,65,87,65,66,54,83,60,66,70,53,71,,,,,,,,,,,,,,,,,65,3.565789474,Second Class Upper
Male,22,kwara,UTME,53,72,66,76,69,54,65,71,65,49,55,54,,50,,50,48,46,,,,62,,,,,70,40,71,44,64,,,,60,48,42,62,61,44,50,58,56,50,40,47,,,,,,,,,,,,,,,,,,,,55,71,40,65,60,,53,56,61,61,58,78,,52,,47,,45,44,61,43,58,40,,,,,,,,,,,,,,,,,,66,56,,54,63,64,40,45,42,52,54,44,45,70,,,,,,,,,,,,,,,,,62,2.55026455,Second Class Lower
Male,20,osun,UTME,70,58,54,86,66,73,66,70,63,52,77,50,,63,,58,48,62,,,,,,,,,72,60,71,71,56,,,,71,75,70,62,60,71,62,60,53,71,42,74,,,,,,,,,,,,,,,,,,,,61,72,68,70,,,61,72,63,66,44,62,65,70,58,66,65,,65,65,78,65,68,,,,,,,,,,,,,,,,,,,,,64,66,75,75,68,67,62,77,53,91,85,,,,,,,,,,,,,,,,,61,4.122580645,Second Class Upper
Male,19,osun,UTME,70,,,,,,,,,,,49,,58,,54,58,52,,,,70,,,,,78,68,53,72,46,,,,65,43,61,58,64,69,61,47,58,62,40,50,,,,,,,,,,,,,,,,,,,,63,51,50,54,50,,74,86,55,65,66,52,45,60,50,64,50,54,58,,52,72,52,,,,,,,,,,,,,,,,,,56,64,,57,67,60,79,57,92,67,88,56,72,65,,,,,,,,,,,,,,,,,68,3.171597633,Second Class Lower
Female,18,kwara,UTME,66,74,54,65,53,70,75,65,60,51,65,51,,54,,50,62,52,,,,52,,,,,60,44,54,86,64,,,,63,45,56,54,71,88,47,59,74,56,40,52,,,,,,,,,,,,,,,,,,,,57,51,52,52,51,,61,74,64,65,51,58,54,77,61,61,44,,40,,72,66,60,,,,,,,,,,,,,,,,,,53,60,,61,95,60,66,45,89,45,60,54,61,43,,,,,,,,,,,,,,,,,64,3.443708609,Second Class Lower
Male,,kwara,UTME,64,40,46,70,60,60,54,54,26,40,40,50,,50,,50,44,48,,,,42,,,,46,60,44,54,86,64,,,,63,45,56,54,71,88,47,59,74,56,40,41,,,,,,,,,,,,,,,,,,,,60,46,40,79,68,,61,67,58,64,42,86,44,65,42,64,,,58,64,45,59,52,,,,,,,,,,,,,,,,,,80,65,,63,96,58,93,52,90,56,82,72,58,65,,,,,,,,,,,,,,,,,65,2.987261146,Second Class Lower
